num,name,address,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,latitude,longitude
1,東京スカイツリー,東京都墨田区押上１丁目１−２,,,,,35.710256,139.8107946
2,東京タワー,東京都港区芝公園４丁目２−８,,,,,35.6585696,139.745484
3,横浜マリンタワー,神奈川県横浜市中区山下町１４−１,,,,,35.4440402,139.6506921
4,千葉ポートタワー,千葉県千葉市中央区中央港１丁目千葉ポートパーク内,,,,,35.5991714,140.0986224
